case,load_profile_name,month_id,TOU_m_ntd,OC_DCT_m_ntd,Deg_m_ntd,monthly_peak_kw,oc_hours,risk0_hours,shield_slack_positive_hours,first_step_charging_near_risk_hours
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,7,8.998370092943821,0.6136312757119999,0.14525559780971717,4331.440306666666,124,16,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,8,8.07022203450951,0.8029727319659518,0.13779038494789744,4613.702465661824,82,4,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,9,10.33589645955472,1.0359741258186668,0.13952554515790783,4961.050995555555,228,13,0,2
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,10,8.339574655166762,1.201256985835027,0.18333021960335966,5207.447626468436,181,12,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,11,5.589344824724735,0.7604620718120001,0.1971794610197851,4935.462826666667,103,6,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,12,4.862547596810218,0.40444394325199984,0.21273500353631772,4224.422026666666,59,0,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,1,3.428704431239584,0.010237261759111145,0.21241618977129703,3337.118848888889,1,0,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,2,3.703420196222731,0.03155299250697504,0.1776761947992313,3400.9766402246105,2,0,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,3,5.019106059164404,0.04037451695054811,0.16886120752665756,3427.404214950713,5,8,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,4,5.394326616848092,0.17758833660184864,0.16946731248369598,3771.345121034249,35,50,0,1
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,5,7.871075840362899,0.39831110895011773,0.14129333539700487,4010.4501952148444,137,91,1,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,6,8.985129904164292,1.0233148706323152,0.13383837643942964,4942.179118414304,151,8,3,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,7,9.044578284419913,0.5888326783393458,0.13939158757014794,4294.4716164868005,107,91,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,8,8.10201257907972,0.6163886202935581,0.13489363489553227,4335.550838243229,94,44,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,9,10.346829837796603,1.0426468955068777,0.1403561670785403,4970.998475710909,237,43,3,1
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,10,8.37253890163575,0.9875860420215496,0.17865553233191042,4888.916106174045,187,19,3,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,11,5.726217905404774,0.09344444893132864,0.15145005836440112,3586.3914287936745,67,44,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,12,4.91929368293019,0.1123941843039585,0.19451731031039896,3641.1391048611113,39,0,0,0
