mode,load_profile_name,bridge_type,k,issue_time,scenario_id,raw_scenario_id,medoid_type,scenario_weight,daily_max_netload_kw,lowpv_shortfall_score_kwh,near_exceed_area_kwh,exceed_area_kwh,max_raw_netload_kw,max_reduced_netload_kw,effective_scenarios
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 22:00:00,2,131,dct_risk_tail,0.032,3399.177734375,575.2784080505371,1737.991406250003,504.09130859375,3399.177734375,3399.177734375,1.5951405637864806
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 22:00:00,3,340,typical,0.112,3294.1318359375,209.6613998413086,1066.5453125000022,163.29833984375,3399.177734375,3399.177734375,1.5951405637864806
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 22:00:00,4,393,typical,0.07,3392.155517578125,160.37723636627197,954.4037109375022,196.364501953125,3399.177734375,3399.177734375,1.5951405637864806
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 23:00:00,0,21,high_netload_tail,0.074,3399.583984375,279.11767578125,731.5293457031275,201.42822265625,3399.583984375,3399.583984375,1.8709493945607765
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 23:00:00,1,290,low_pv_shortfall_tail,0.024,3387.6142578125,759.3381719589233,1845.8392089843783,599.6962890625,3399.583984375,3399.583984375,1.8709493945607765
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 23:00:00,2,361,dct_risk_tail,0.116,3398.0498046875,733.0005798339844,1818.0135253906283,569.79248046875,3399.583984375,3399.583984375,1.8709493945607765
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 23:00:00,3,329,typical,0.714,3290.1376953125,255.6883306503296,1074.9390625000033,141.368896484375,3399.583984375,3399.583984375,1.8709493945607765
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-21 23:00:00,4,355,typical,0.072,3396.2568359375,412.13886642456055,1287.1590820312522,376.458984375,3399.583984375,3399.583984375,1.8709493945607765
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 00:00:00,0,3,high_netload_tail,0.746,3414.99169921875,548.8847351074219,1397.9902832031275,426.115966796875,3414.99169921875,3414.99169921875,1.71977326509273
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 00:00:00,1,354,low_pv_shortfall_tail,0.012,3375.50244140625,787.5956659317017,1747.5788574218786,539.48095703125,3414.99169921875,3414.99169921875,1.71977326509273
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 00:00:00,2,402,dct_risk_tail,0.022,3414.99169921875,742.7913551330566,1810.9178222656283,626.334716796875,3414.99169921875,3414.99169921875,1.71977326509273
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 00:00:00,3,464,typical,0.118,3294.826416015625,301.0940971374512,1068.9541503906275,133.701904296875,3414.99169921875,3414.99169921875,1.71977326509273
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 00:00:00,4,6,typical,0.102,3402.047119140625,435.99670791625977,1245.2290527343775,438.205810546875,3414.99169921875,3414.99169921875,1.71977326509273
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 01:00:00,0,496,high_netload_tail,0.73,3434.292236328125,480.74683380126953,1128.4753906250025,339.85107421875,3434.292236328125,3434.292236328125,1.7979402796156725
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 01:00:00,1,288,low_pv_shortfall_tail,0.006,3412.29931640625,852.2518558502197,1972.9759277343783,684.754638671875,3434.292236328125,3434.292236328125,1.7979402796156725
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 01:00:00,2,183,dct_risk_tail,0.092,3434.292236328125,649.9824628829956,1747.5618652343783,520.3984375,3434.292236328125,3434.292236328125,1.7979402796156725
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 01:00:00,3,417,typical,0.086,3305.315185546875,254.33272552490234,1147.727978515628,181.84375,3434.292236328125,3434.292236328125,1.7979402796156725
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 01:00:00,4,74,typical,0.086,3408.1650390625,217.1110544204712,986.3475585937522,343.715576171875,3434.292236328125,3434.292236328125,1.7979402796156725
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 02:00:00,0,235,high_netload_tail,0.342,3429.6572265625,261.37500953674316,1367.701855468753,369.4951171875,3429.6572265625,3429.6572265625,3.0271474584069935
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 02:00:00,1,4,low_pv_shortfall_tail,0.036,3380.8818359375,680.0814657211304,1719.3454589843786,530.676513671875,3429.6572265625,3429.6572265625,3.0271474584069935
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 02:00:00,2,272,dct_risk_tail,0.06,3429.6572265625,569.7943201065063,1740.060009765628,528.756103515625,3429.6572265625,3429.6572265625,3.0271474584069935
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 02:00:00,3,54,typical,0.44,3297.8603515625,333.3237886428833,1127.0979980468783,133.911376953125,3429.6572265625,3429.6572265625,3.0271474584069935
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 02:00:00,4,259,typical,0.122,3411.46875,388.60521697998047,1054.5935058593768,324.546875,3429.6572265625,3429.6572265625,3.0271474584069935
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 03:00:00,0,2,high_netload_tail,0.142,3435.2490234375,459.7453374862671,1373.564648437503,421.89501953125,3435.2490234375,3435.2490234375,2.9417302080391607
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 03:00:00,1,189,low_pv_shortfall_tail,0.014,3412.615478515625,741.521918296814,1643.0920898437525,705.7900390625,3435.2490234375,3435.2490234375,2.9417302080391607
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 03:00:00,2,335,dct_risk_tail,0.124,3435.2490234375,613.4381551742554,1836.5584472656283,593.05615234375,3435.2490234375,3435.2490234375,2.9417302080391607
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 03:00:00,3,64,typical,0.51,3305.19580078125,304.0456085205078,1264.704785156253,239.49169921875,3435.2490234375,3435.2490234375,2.9417302080391607
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 03:00:00,4,497,typical,0.21,3413.333740234375,295.742431640625,1039.0815429687518,319.089111328125,3435.2490234375,3435.2490234375,2.9417302080391607
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 04:00:00,0,57,high_netload_tail,0.068,3440.008056640625,403.9293780326843,1487.3833496093775,436.70361328125,3440.008056640625,3440.008056640625,2.1873414177472132
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 04:00:00,1,258,low_pv_shortfall_tail,0.016,3425.0546875,725.2039909362793,1764.4622070312525,692.162109375,3440.008056640625,3440.008056640625,2.1873414177472132
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 04:00:00,2,488,dct_risk_tail,0.186,3440.008056640625,585.460587978363,1686.9722656250033,565.73486328125,3440.008056640625,3440.008056640625,2.1873414177472132
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 04:00:00,3,234,typical,0.64,3306.00732421875,146.28099536895752,1003.7606445312522,201.698974609375,3440.008056640625,3440.008056640625,2.1873414177472132
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 04:00:00,4,2,typical,0.09,3420.0625,594.7834939956665,1804.7627929687533,575.46923828125,3440.008056640625,3440.008056640625,2.1873414177472132
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 05:00:00,0,35,high_netload_tail,0.122,3436.56396484375,498.64049911499023,1665.684765625003,548.62255859375,3436.56396484375,3436.56396484375,3.0769988184324544
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 05:00:00,1,187,low_pv_shortfall_tail,0.122,3416.216064453125,685.2232484817505,1590.2780761718786,520.380126953125,3436.56396484375,3436.56396484375,3.0769988184324544
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 05:00:00,2,412,dct_risk_tail,0.062,3436.56396484375,496.9476041793823,1770.9700683593783,553.0205078125,3436.56396484375,3436.56396484375,3.0769988184324544
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 05:00:00,3,137,typical,0.188,3300.2568359375,233.0302391052246,1128.9556152343775,173.27978515625,3436.56396484375,3436.56396484375,3.0769988184324544
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 05:00:00,4,493,typical,0.506,3417.202880859375,445.5169448852539,1255.1249023437522,482.7216796875,3436.56396484375,3436.56396484375,3.0769988184324544
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 06:00:00,0,19,high_netload_tail,0.27,3436.799560546875,254.83732318878174,1121.958935546878,270.205810546875,3436.799560546875,3436.799560546875,2.856751074138404
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 06:00:00,1,203,low_pv_shortfall_tail,0.098,3431.685302734375,674.7806558609009,1841.3032226562536,536.53466796875,3436.799560546875,3436.799560546875,2.856751074138404
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 06:00:00,2,88,dct_risk_tail,0.062,3436.799560546875,523.3263244628906,1796.283886718753,686.306884765625,3436.799560546875,3436.799560546875,2.856751074138404
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 06:00:00,3,119,typical,0.51,3305.610595703125,243.2870683670044,1082.440136718753,210.346435546875,3436.799560546875,3436.799560546875,2.856751074138404
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 06:00:00,4,472,typical,0.06,3417.259521484375,260.72518730163574,1073.1992675781275,244.609375,3436.799560546875,3436.799560546875,2.856751074138404
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 07:00:00,0,21,high_netload_tail,0.09,3427.00537109375,287.1204376220703,1398.096875000003,387.28759765625,3427.00537109375,3427.00537109375,1.707113884981495
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 07:00:00,1,290,low_pv_shortfall_tail,0.002,3410.50927734375,646.4376783370972,1963.0848144531283,717.0185546875,3427.00537109375,3427.00537109375,1.707113884981495
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 07:00:00,2,463,dct_risk_tail,0.076,3427.00537109375,519.6617660522461,1748.2930664062533,592.672119140625,3427.00537109375,3427.00537109375,1.707113884981495
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 07:00:00,3,286,typical,0.08,3307.626953125,168.59955215454102,1237.818798828128,238.249267578125,3427.00537109375,3427.00537109375,1.707113884981495
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 07:00:00,4,285,typical,0.752,3412.32470703125,272.4739627838135,1370.5794433593783,323.643310546875,3427.00537109375,3427.00537109375,1.707113884981495
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 08:00:00,0,478,high_netload_tail,0.032,3432.432861328125,440.6568145751953,1809.9957031250033,576.400390625,3432.432861328125,3432.432861328125,1.895174128598936
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 08:00:00,1,328,low_pv_shortfall_tail,0.002,3432.432861328125,638.0017714500427,1981.7810058593786,846.18701171875,3432.432861328125,3432.432861328125,1.895174128598936
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 08:00:00,2,301,dct_risk_tail,0.158,3432.432861328125,459.93059635162354,1807.9426269531286,582.3671875,3432.432861328125,3432.432861328125,1.895174128598936
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 08:00:00,3,138,typical,0.7,3327.58984375,210.39908504486084,1466.1210937500036,304.48583984375,3432.432861328125,3432.432861328125,1.895174128598936
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 08:00:00,4,495,typical,0.108,3411.20166015625,209.1288423538208,1244.4590332031275,239.713134765625,3432.432861328125,3432.432861328125,1.895174128598936
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 09:00:00,0,30,high_netload_tail,0.096,3429.066162109375,134.21060848236084,1268.807568359378,320.8876953125,3429.066162109375,3429.066162109375,2.8970727976452593
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 09:00:00,1,157,low_pv_shortfall_tail,0.008,3425.398681640625,505.92175102233887,1830.151562500003,700.15966796875,3429.066162109375,3429.066162109375,2.8970727976452593
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 09:00:00,2,47,dct_risk_tail,0.39,3429.066162109375,423.87488079071045,2043.6707519531283,742.43359375,3429.066162109375,3429.066162109375,2.8970727976452593
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 09:00:00,3,459,typical,0.086,3337.833984375,96.39585018157959,1183.0758300781272,344.857177734375,3429.066162109375,3429.066162109375,2.8970727976452593
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 09:00:00,4,384,typical,0.42,3416.454345703125,346.92377185821533,1830.7469238281283,640.858154296875,3429.066162109375,3429.066162109375,2.8970727976452593
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 10:00:00,0,176,high_netload_tail,0.668,3456.416259765625,301.5190372467041,1654.675488281253,496.013916015625,3456.416259765625,3456.416259765625,2.109241854107959
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 10:00:00,1,442,low_pv_shortfall_tail,0.088,3412.897216796875,470.43828296661377,1948.3509277343783,677.499267578125,3456.416259765625,3456.416259765625,2.109241854107959
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 10:00:00,2,457,dct_risk_tail,0.07,3456.416259765625,428.41089248657227,2072.0047363281283,755.152099609375,3456.416259765625,3456.416259765625,2.109241854107959
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 10:00:00,3,380,typical,0.08,3363.22802734375,177.08997917175293,1422.6812011718775,350.381103515625,3456.416259765625,3456.416259765625,2.109241854107959
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 10:00:00,4,412,typical,0.094,3443.9658203125,302.34469509124756,1699.2903320312525,626.990234375,3456.416259765625,3456.416259765625,2.109241854107959
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 11:00:00,0,25,high_netload_tail,0.1,3414.50634765625,308.4935054779053,1657.2490722656275,588.951171875,3414.50634765625,3414.50634765625,2.848158950054684
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 11:00:00,1,397,low_pv_shortfall_tail,0.1,3378.964599609375,523.3642611503601,1708.6111816406283,447.143798828125,3414.50634765625,3414.50634765625,2.848158950054684
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 11:00:00,2,180,dct_risk_tail,0.056,3414.50634765625,335.7720184326172,1821.832958984378,641.43408203125,3414.50634765625,3414.50634765625,2.848158950054684
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 11:00:00,3,251,typical,0.212,3343.532958984375,237.33623123168945,1302.1919433593775,306.76953125,3414.50634765625,3414.50634765625,2.848158950054684
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 11:00:00,4,480,typical,0.532,3405.0361328125,309.9584584236145,1712.3582519531283,576.16845703125,3414.50634765625,3414.50634765625,2.848158950054684
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 12:00:00,0,479,high_netload_tail,0.382,3426.11962890625,124.85608196258545,1319.678173828128,260.97119140625,3426.11962890625,3426.11962890625,2.8641477441972367
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2025-10-22 12:00:00,1,32,low_pv_shortfall_tail,0.02,3411.435791015625,642.8208847045898,1901.0596679687533,587.689697265625,3426.11962890625,3426.11962890625,2.8641477441972367
