issue_time,raw_scenario_count,R1_representation_error,R3_representation_error,R1_minus_R3,better_method
2025-05-16 08:00:00,500,3.180368420576825,3.5475314088412087,-0.36716298826438365,R1
2025-05-16 09:00:00,500,3.2056372100988,3.9689301179916567,-0.7632929078928568,R1
2025-05-16 10:00:00,500,3.1805479112916464,3.4834636011970472,-0.30291568990540085,R1
2025-05-16 11:00:00,500,3.172547291321659,3.605059272064939,-0.4325119807432798,R1
2025-05-16 12:00:00,500,3.169802814377866,3.589809848106956,-0.4200070337290902,R1
2025-05-16 13:00:00,500,3.2337675922328315,3.5461831138624413,-0.31241552162960984,R1
2025-05-16 14:00:00,500,3.1878748044405967,3.651607799028056,-0.4637329945874593,R1
2025-05-16 15:00:00,500,3.1548709329249838,3.503784224601176,-0.3489132916761921,R1
2025-05-16 16:00:00,500,3.1800519781980388,3.47131360044397,-0.2912616222459312,R1
2025-05-16 17:00:00,500,3.2151281043157605,3.7227301857809305,-0.50760208146517,R1
2025-05-16 18:00:00,500,3.191185911241817,3.592233476279292,-0.40104756503747474,R1
2025-05-16 19:00:00,500,3.165762985676166,3.71621814388349,-0.550455158207324,R1
2025-05-16 20:00:00,500,3.123521596906416,3.457790803994617,-0.33426920708820074,R1
2025-05-16 21:00:00,500,3.091488986735976,3.3996992590674373,-0.30821027233146125,R1
2025-05-16 22:00:00,500,3.1649420047653583,3.5520812793993093,-0.38713927463395104,R1
2025-05-16 23:00:00,500,3.149971892134775,3.642545277872904,-0.49257338573812914,R1
2025-05-17 00:00:00,500,3.119750211280005,3.603586655235069,-0.483836443955064,R1
2025-05-17 01:00:00,500,3.115723317679396,3.771696438253745,-0.6559731205743486,R1
2025-05-17 02:00:00,500,3.032349853574564,3.4840586483243103,-0.45170879474974646,R1
2025-05-17 03:00:00,500,3.1058873908929616,3.501280014484582,-0.3953926235916203,R1
2025-05-17 04:00:00,500,3.1974406085803384,3.561620366655843,-0.3641797580755046,R1
2025-05-17 05:00:00,500,3.1132583867986026,3.682541274946481,-0.5692828881478786,R1
2025-05-17 06:00:00,500,3.166959093870156,3.76674799846856,-0.599788904598404,R1
2025-05-17 07:00:00,500,3.133132954338219,3.54838429798167,-0.41525134364345107,R1
2025-05-17 08:00:00,500,3.1895854801883043,3.610664111187044,-0.42107863099873954,R1
2025-05-17 09:00:00,500,3.3780382366410477,3.631640084617572,-0.2536018479765243,R1
2025-05-17 10:00:00,500,3.2258740148471063,3.6895172186040224,-0.46364320375691603,R1
2025-05-17 11:00:00,500,3.2623276947225874,3.823862952119834,-0.5615352573972467,R1
2025-05-17 12:00:00,500,3.3084130641325147,3.6317692287081536,-0.32335616457563887,R1
2025-05-17 13:00:00,500,3.175078161412782,3.547752235766072,-0.37267407435329014,R1
2025-05-17 14:00:00,500,3.2663102450957875,3.563006041368089,-0.2966957962723016,R1
2025-05-17 15:00:00,500,3.3235927317887453,3.5868027290269864,-0.2632099972382411,R1
2025-05-17 16:00:00,500,3.2452003830749647,3.452718041558497,-0.20751765848353232,R1
2025-05-17 17:00:00,500,3.114711230197256,3.481510846660891,-0.3667996164636347,R1
2025-05-17 18:00:00,500,3.1934369253895976,3.522717070992605,-0.3292801456030072,R1
2025-05-17 19:00:00,500,3.1677924570207545,3.4425769874080814,-0.27478453038732686,R1
2025-05-17 20:00:00,500,3.217858289713285,3.390941344191924,-0.17308305447863903,R1
2025-05-17 21:00:00,500,3.0756713076010542,3.766594219571819,-0.6909229119707647,R1
2025-05-17 22:00:00,500,3.195692604185194,3.533520087113537,-0.33782748292834297,R1
2025-05-17 23:00:00,500,3.167568875391789,3.657206971253984,-0.48963809586219487,R1
2025-05-18 00:00:00,500,3.152622897946973,3.501826059533292,-0.34920316158631914,R1
2025-05-18 01:00:00,500,3.191424222541849,3.5691269077871213,-0.3777026852452723,R1
2025-05-18 02:00:00,500,3.1946769639045742,3.73990839873386,-0.5452314348292857,R1
2025-05-18 03:00:00,500,3.22861173092993,3.5010589997229573,-0.2724472687930275,R1
2025-05-18 04:00:00,500,3.119577313343149,3.4299976959657053,-0.31042038262255645,R1
2025-05-18 05:00:00,500,3.2288474136141576,3.5566761180693582,-0.3278287044552006,R1
